carry-on	বহন অন
postdoctoral	পোস্ট ডক্টোরাল
postdoc	স্নাতকত্তোর
postdate	রঙীন মুদ্রক
postcard	পোস্টকার্ড
postal service	ঠিকানা পরিষেবা
postal	ঠিকানা
postage stamp	ডাকটিকিট
postage	ডাকমাসুল
post	পোস্ট
possum	পসাম্
possibly	সম্ভবত
possible	সম্ভব
possibility	সম্ভাবনা
possessive	সম্বন্ধসূচক
possessions	স্ব
possession	দখল
possessed	আবিষ্ট
possess	ভোগদখল করা
posse	শক্তি
positively	সুনিশ্চিত
positive	ধনাত্মক
position	অবস্থান
posh	সর্বোত্কৃষ্ট
pose	জাহির করা
Portuguese	পর্তুগীজ
portrayal	চিত্রাঙ্কন
portray	ভাষায় বর্ণনা করা
portrait	প্রতিকৃতি
portly	ঐশ্বর্যময়
portion	অংশ
portico	চাঁদনি
porthole	porthole
portfolio	দফতর
porter	কুলি
portent	লক্ষণ
portend	ভবিষ্যদ্বাণী করা
portal	পোর্টাল
portable	সুবহ
port	বন্দর
porpoise	শুশুক
porous	ঝাঁঝর
pornography	অশ্লীল সাহিত্যাদি
pornographic	অশ্লীল
pornographer	পর্নোগ্রাফার
porn	অশ্লীল রচনা
pork	শুয়োরের মাংস
pore	লোমকূপ
porcupine	শজারু
porch	বারান্দা
porcelain	চীনামাটির বাসন
populous	জনাকীর্ণ
population	জনসংখ্যা
populate	লোক বসান
popularly	জনপ্রিয়
popularize	লোকায়ত করা
popularity	জনপ্রিয়তা
popular	জনপ্রিয়
populace	জনসাধারণ
Popsicle	popsicle
pop quiz	পপ ব্যঙ্গ
poppy	পোস্ত
pop music	পপ সঙ্গীত
poplar	উঁচু ও সরু গাছবিশেষ
Pope	ধর্মযাজক
popcorn	ভুট্টার খই
pop	পপ
poorly	দুর্বল
poor	দরিদ্র
pooped	pooped
poop	গুলি চালানো
pool table	পুল টেবিল
pool	পুকুর
pooh-pooh	Pooh সহকারে প্রত্যাখ্যান
poodle	Poodle
pooch	কুকুর
ponytail	পনি টেইল
pony express	টাট্টু এক্সপ্রেস
pony	টাট্টু
pontoon	খেয়ানৌকা
pontifical	চমত্কার
pontiff	পোপ
ponderous	ভারী
ponder	চিন্তা করা
pond	পুকুর
poncho	poncho
pompous	আত্মম্ভরী
pomposity	নিদারুণ আত্মম্ভরিতা
pompom	pompom
pomp	ধুমধাম
pomegranate	ডালিম
polytechnic	পলিটেকনিক
polyp	প্রবালকীট
polymer	পলিমার
polygraph	পলিগ্রাফ
polygon	বহুভুজ
polygamy	বহুবিবাহ
polygamous	ব্যামিশ্র
polygamist	বহুগামী পুরুষ
polyester	পলিয়েস্টার
polo shirt	পোলো শার্ট
polo	পোলো
pollution	দূষণ
polluted	দূষিত
pollute	দূষিত করা
pollutant	দূষক
pollster	জনমতসম্বন্ধে ভোট-গ্রহণাদিত্র দক্ষ ব্যক্তি
polls	নির্বাচনে
polling place	পোলিং জায়গা
pollination	পরাগযোগ
pollinate	পরাগিত করা
pollen	পরাগ
poll	পোল
polka dot	polka বিন্দু
polka	ফুটকিওয়ালা
politics	রাজনীতি
politicize	politicize
politician	রাজনীতিজ্ঞ
political science	রাজনৈতিক বিজ্ঞান
politically correct	রাজনৈতিকভাবে সঠিক
politically	রাজনৈতিকভাবে
political correctness	রাজনৈতিক শুদ্ধতা
political	রাজনৈতিক
politeness	বিনম্রতা
politely	সবিনয়ে
polite	ভদ্র
polished	সুন্দর
polish	পালিশ
Polish	পোলিশ
polio	পোলিও
policy	নীতি
policewoman	নারী-পুলিস
police station	থানা
police state	পুলিশ রাষ্ট্র
police officer	পুলিশ অফিসার
policeman	পুলিশ
police force	পুলিশ বাহিনী
police department	পুলিশ বিভাগ
police	পুলিশ
pole vault	পোলভল্ট
polemical	বিতর্কমূলক
polemic	বিতর্কমূলক
pole	মেরু
Pole	মেরু
Polaroid	পোলারয়েড
polarize	সমবর্তিত করা
polarization	সমবর্তন
polarity	প্রান্তিকতা
polar bear	মেরু ভালুক
polar	মেরু
poky	বাজে
poker	জুজু
poke	অকর্মা
poisonous	বিষাক্ত
poison ivy	বিষ ivy
poisoning	বিষণ
poison	বিষ
poised	পয়েজড
poise	ভার চাপান
pointy	সূচালো
point of view	দৃষ্টিকোণ
point man	বিন্দু মানুষ
pointlessness	pointlessness
pointlessly	pointlessly
pointless	অর্থহীন
pointer	ইশারা
pointedly	স্পষ্টতই
pointed	তীক্ষ্ন
point-blank	চূড়ান্তভাবে
point	বিন্দু
poinsettia	poinsettia
poignantly	poignantly
poignant	গ্লানিকর
poignancy	কটুতা
pogrom	হত্যাকাণ্ডের
poetry	কবিতা
poetic license	কাব্যিক লাইসেন্স
poetic justice	কাব্যিক ন্যায়বিচার
poetically	poetically
poetic	কবিসুলভ
poet	কবি
poem	কবিতা
podium	মঁচ
podiatry	Podiatry
podiatrist	podiatrist
pod	শুঁটি
pockmarked	pockmarked
pockmark	pockmark
pocketknives	pocketknives
pocketknife	pocketknife
pocketful	পকেটে যত ধরে তত
pocketbook	নোটবই
pocket	পকেট
P.O.	পি.ও. 
poacher	ক্ষতচিহ্ন
poach	হস্তগত করা
pneumonia	নিউমোনিআ
pneumatic	বায়ুসংক্রান্ত
PMS	PMS
P.M.	বিকাল
plywood	তিনপীস্ কাঠ
ply	অটলভাবে কাজ করা
plutonium	প্লুটোনিয়াম
plutocracy	ধনতন্ত্র
Pluto	গ্রহবিশেষ
plus sign	ধনচিহ্ন
plush	প্লাশ্
plus	যোগ
plurality	বহুবচন
plural	বহুবচন
plunk	ডল্যার
plunger	মজ্জনকারী
plunge	নিমজ্জন
plunder	লুঠতরাজ
plump	দ্বিধাহীনভাবে
plummet	ত্তলনদড়ি
plume	জয়পতাকা
plumbing	নদীর গভীরতানির্ণয়
plumber	সীসক
plumage	পক্ষীর পালকসমূহ
plum	বরই
plug	প্লাগ
plucky	তেজস্বী
pluck	ছোঁ
ploy	চাকরি
plow	লাঙ্গল
plot	চক্রান্ত
plop	অকস্মাৎ
plodding	শ্রমশীল
plod	টেনে হিঁচড়ে চলা
plight	অঙ্গীকার
pliers	প্লাস
pliant	নম্র
pliable	নম্র
Plexiglas	Plexiglas
plethora	আধিক্য
plenty	প্রচুর
plentifully	প্রচুর ফসল
plentiful	অঢেল
plenary	ব্যতিক্রমহীন
pledge	অঙ্গীকার
pled	স্বীকার
pleated	pleated
pleat	ভাঁজ বা পাট
pleasure	পরিতোষ
pleasurable	আনন্দদায়ক
pleasing	আনন্দদায়ক
pleased	আনন্দিত
please	দয়া করে
pleasantry	কৌতুক
pleasantly	pleasantly
pleasant	আরামপ্রদ
plead	আত্মসমর্থন করা
plea-bargain	অজুহাতে - ক্রয়বিক্রয়
plea	অজুহাত
plaza	চক
playwright	নাট্যকার
plaything	খেলনা
playroom	খেলার ঘর
playpen	playpen
playoff	প্লে অফ
playmate	খেলার সাথী
playing field	মাঠ
playing card	তাস
playhouse	নাটমন্দির
playground	খেলার মাঠ
playfulness	playfulness
playfully	playfully
playful	ক্রীড়নশীল
player	খেলোয়াড়
play-by-play	খেলা - খেলার দ্বারা
playboy	ফুর্তিবাজ
play	খেলা
plausible	বিশ্বাসযোগ্য
platter	থালা
platoon	পল্টন
platonic	আদর্শমূলক
platitude	ধুয়া
platinum	প্লাটিনাম
plating	কলাই
platform	প্ল্যাটফর্ম
plateful	plateful
plated	ধাতুপট্টাবৃত
plateau	মালভূমি
plate	প্লেট
plastic surgery	প্লাস্টিক সার্জারি
plastic	প্লাস্টিক
plastered	মাতাল
plaster	পলস্তারা
plasma	রক্তরস
plaque	প্লেক
planting	আবাদ
planter	আবাদকারী
plantation	বাগান
plant	উদ্ভিদ
planning	পরিকল্পনা
planner	পরিকল্পক
plankton	প্ল্যাঙ্কটন
plank	তক্তা
planetary	অস্থিরমতি
planetarium	গ্রহমণ্ডলীর নকশা
planetaria	অস্থিরমতি
planet	গ্রহ
plane	সমতল
plan	পরিকল্পনা
plaintive	দু: খজনক
plaintiff	বাদী
plains	সমতল
plainly	সরলভাবে
plainclothes	সাদা পোশাকের
plain	সাধারণ
plaid	মোটা কম্বল
plague	প্লেগ
plagiarize	কুম্ভীলকগিরি
plagiarist	চন্দ্ররেণু
plagiarism	লেখাচুরি
placidly	placidly
placid	প্রশান্ত
placenta	অমরা
place mat	স্থান মাদুর
placebo	প্ল্যাসেবো
place	স্থান
placard	প্ল্যাকার্ড
Pl.	Pl .
Pkwy.	সাইট .
pj's	PJ এর
pizzazz	pizzazz
pizza	পিজা
pixie	পিক্সি
pixel	পিক্সেল
pivotal	কেঁদ্রগত
pivot	পিভট
pity	দু: খের বিষয়
pittance	সামান্য বেতন
pitiless	পাষাণহৃদয়
pitifully	pitifully
pitiful	বেচারা
pithy	বলিষ্ঠ
pitfall	ফাঁদ
piteous	কাতর
pitchfork	pitchfork
pitcher	জার
pitch-black	পিচের মত কাল
pitch	পিচ
pit	খন্দ
piston	পিস্টন
pistol	পিস্তল
pistachio	পেস্তা বাদাম
pissed off	প্রস্রাব বন্ধ
pissed	প্রস্রাব
piss	প্রস্রাব
Pisces	মীনরাশি
pirouette	নাচের সময় একপায়ে বা এক পায়ের আঙ্গুলে ভর দিয়া ঘুরপাক
pirate	জলদসু্য
piranha	Piranha
piracy	গ্রস্থস্বত্বাপহরণ
pique	বিরূপতা
piquant	তীব্র
piquancy	তীব্রতা
pipsqueak	তুচ্ছ ব্যক্তি
piping	বংশীধ্বনিতুল্য
pipeline	পাইপলাইন
pipe dream	পাইপ স্বপ্ন
pipe	নল
piously	piously
pious	ধর্মবিশ্বাসী
pioneer	অগ্রণী
pinup	Pinup
pint	পাইঁট্
pinstripe	pinstripe
pins and needles	পিন এবং সূঁচ
pinprick	সামান্য খোঁচা
pinpoint	তুচ্ছ বিষয়
PIN number	পিন নম্বর
pinnacle	চূড়া
pinkie	Pinkie
pink	গোলাপী
pinion	পালক
ping-pong	পিংপং বল
ping	পিং
pineapple	আনারস
pine	পাইন
pincushion	pincushion
pinch hitter	চিম্টি hitter
pinch-hit	- চিম্টি আঘাত
pinch	চিমটি কাটা
pincers	চিমটা
pinball machine	পিনবল মেশিন
pin	পিন
PIN	পিন
pimply	ফুস্কুড়িযুক্ত
pimple	ফুস্কুড়ি
pimp	কুটনি
pilot light	পাইলট আলো
pilot	পরীক্ষামূলক
pillowcase	ত্তড়
pillow	বালিশ
pillar	স্তম্ভ
pillage	লুঠতরাজ
pill	পিল
piling	পাইল
pilgrimage	তীর্থযাত্রা
pilgrim	তীর্থযাত্রী
Pilgrim	তীর্থযাত্রী
pilfer	অপহরণ করা
pileup	Pileup
pile	গাদা
pike	পাইক
pigtail	কবরী
pigsty	শূকরের খোঁয়াড়
pigpen	Pigpen
pigmentation	চর্মাদির স্বাভাবিক রং
pigment	রঙ্গক
piglet	Piglet
pigheaded	বোকার মত একগুঁঁয়ে
piggy bank	লোভী ব্যাংক
piggyback	Piggyback
piggy	লোভী
pigeonhole	পায়রার খোপ
pigeon	পায়রা
pig	শূকর
piety	ভক্তি
piercing	তীক্ষ্ন
pierce	বিঁধান
pier	জেটি
pie chart	পাই চার্ট
piecework	ফুরণ
piecemeal	খণ্ডে খণ্ডে
piece	টুকরা
pie	পাই
pidgin	Pidgin
piddling	তুচ্ছ
picturesque	চিত্রানুগ
picture	ছবি
pictorial	সচিত্র
picnic	পিকনিক
picky	picky
pickup truck	পিক ট্রাক
pickup	পিক
pickpocket	পকেটমার
pickled	জরান
pickle	কাসুন্দি
picket line	ফাঁড়ি স্থাপন করা লাইন
picket fence	প্রহরীর বেড়া
picket	ফাঁড়ি স্থাপন করা
picker	জুতো
pickax	খনিত্র
pick	বাছাই
piccolo	পিকলু
piano	পিয়ানো
pianist	পিয়ানোবোদক
physique	দেহ
physiotherapy	ফিজিওথেরাপি
physiology	দেহতত্ব
physiological	শারীরবৃত্তীয়
physics	পদার্থবিদ্যা
physicist	প্রকৃতিবিজ্ঞানী
physician	চিকিত্সক
physical therapy	শারীরিক থেরাপি
physical therapist	শারীরিক থেরাপিস্ট
physically	শারীরিকভাবে
physical examination	শারীরিক পরীক্ষা
physical education	শারীরিক শিক্ষা
physical	শারীরিক
phrasing	phrasing
phrase	বাক্য
phrasal verb	ফ্রেজাল ক্রিয়া
photosynthesis	সালোকসংশ্লেষ
photo opportunity	ছবির সুযোগ
photography	ফটোগ্রাফি
photographic	ফোটোগ্রাফিক
photographer	ফটোগ্রাফার
photograph	আলোকচিত্র
photogenic	বিচ্ছুরিত
photo finish	ছবির ফিনিস
photocopy	ফটোকপি
photocopier	photocopier
photo	ছবি
phosphorus	ভোরের তারা
phosphorescent	অনুপ্রভ
phosphorescence	অনুপ্রভ
phosphate	ফসফেট
phooey	কাপ
phony	অপ্রকৃত
phonograph	ধ্বনিনির্দেশক চিহ্ন
phonetics	ধ্বনিবিজ্ঞান
phonetically	উচ্চারণানুযায়ী
phonetic	স্বরবিষয়ক
phone call	ফোন কল
phone booth	ফোন চালাঘর
phone book	ফোন বই
phone	টেলিফোন
phoenix	ফিনিক্স
phobic	phobic
phobia	বিতৃষ্ণা
phlegmatic	জড়
phlegm	কফ
philosophy	দর্শন
philosophize	philosophize
philosophically	দার্শনিকভাবে
philosophical	দার্শনিক
philosopher	দার্শনিক
philistine	সঙ্কীর্ণমনা ব্যক্তি
philanthropy	বিশ্বপ্রেম
philanthropist	বিশ্বপ্রেমিক
philanthropic	বিশ্বপ্রেমিক
phenomenon	প্রপঁচ
phenomenally	phenomenally
phenomenal	বিষ্ময়কর
phenomena	ঘটনা
pheasant	রঙ্গীন পক্ষীবিশেষ
Ph.D.	পিএইচ
phase	ফেজ
pharmacy	ঔষধালয়
pharmacology	ফার্মাকোলজি
pharmacologist	pharmacologist
pharmacist	কম্পউণ্ডার
pharmaceutical	ফার্মাসিউটিকাল
Pharaoh	ফেরাউন
phantom	ভূত
phallus	পুংজননেন্দ্রি়
phallic	phallic
PG-13	PG - 13
PG	PG
pewter	কংস
pew	গির্জায় ঘেরা আসন
petulant	বিরক্ত
petty cash	ছোটখাটো নগদ
petty	ক্ষুদ্র
pettiness	pettiness
petroleum	পেট্রল
petrify	শিলীভূত করা
petrified	সংরক্ষিত
petition	দরখাস্ত
petite	পেতিতে
peter	পিটার
petal	পাপড়ি
pet	পোষা
pesticide	কীটনাশক
pester	কষ্ট দেত্তয়া
pest	মড়ক
pessimistically	pessimistically
pessimistic	হতাশাপূর্ণ
pessimist	দু: খবাদী
pessimism	হতাশা
pesky	বিরক্তিকর
perverted	বিকৃত
pervert	বিকৃত করা
perversity	নষ্টামি
perversion	স্বেচ্ছাচারিতা
perversely	perversely
perverse	ন্যায়ভ্রষ্ট
pervasive	পরিব্যাপক
pervade	অনুপ্রবেশ করা
peruse	পড়া
perusal	পড়ন
perturb	ক্ষুব্ধ করা
pertinent	প্রাসঙ্গিক
pertain	অধিকারে থাকা
pert	অকালপক্ক
persuasiveness	persuasiveness
persuasively	persuasively
persuasive	কৃত্য
persuasion	প্রবর্তনা
persuade	জপান
perspire	ঘাম ঝরান
perspiration	ঘাম
perspective	পরিপ্রেক্ষিত
personnel	কর্মিবৃন্দ
personify	ব্যক্তিরূপে প্রকাশ করা
personification	নরত্বারোপ
personals	ব্যাক্তি
personal pronoun	ব্যক্তিগত সর্বনাম
personally	ব্যক্তিগতভাবে
personalize	ব্যক্তিগতকৃত
personality	ব্যক্তিত্ব
personal computer	ব্যক্তিগত কম্পিউটার
personal	ব্যক্তিগত
personae	ব্যক্তিবর্গ
personable	সুরূপ
persona	ব্যক্তি
person	ব্যক্তি
persistently	স্থায়ীরূপে
persistent	অধ্যবসায়ী
persistence	অধ্যবসায়
persist	জিদ করা
perseverance	অধ্যবসায়
persevere	উদ্যম করা
persecutor	পীড়ক
persecution	নিপীড়ন
persecute	নির্যাতন করা
per se	জন্মগতভাবে
perquisite	উপরি
perplexing	হতবুদ্ধিকর
perplexed	কিংকর্তব্যবিমূঢ়
perplex	হতবুদ্ধি করা
perpetuate	চিরস্থায়ী করা
perpetually	চির
perpetual	চিরস্থায়ী
perpetrator	অপরাধী
perpetrate	সাধন করা
perpendicular	ঋজু
peroxide	পারক্সাইড
pernicious	ক্ষতিকর
permutation	বিনিময়
permit	অনুমতি
permissive	অনুমতিসূচক
permission	অনুমতি
permissible	অনুমোদনযোগ্য
permeate	আকুল করা
permanently	স্থায়িভাবে
permanent	স্থায়ী
permanence	স্থায়িত্ব
perm	স্থায়ী ঢেউ তোলা
perky	বেহায়া
perk	স্পর্ধিত
perjury	শপথভঙ্গ
perjure	মিথ্যা শপথ করা
perishables	perishables
perishable	ক্ষর
perish	বিনষ্ট করা
periscope	periscope
periphery	পরিধি
peripheral	প্রান্তস্থ
periodic table	পর্যায় সারণি
periodically	পর্যায়ক্রমে
periodical	পর্যাবৃত্ত
periodic	পর্যাবৃত্ত
period	কাল
perimeter	ঘের
perilous	বিপজ্জনক
peril	অনিষ্টপাত
perhaps	সম্ভবত
perfunctory	অগভীর
perfunctorily	perfunctorily
perfume	সুগন্ধি
performer	অভিনয়কারী
performance	অভিনয়
perform	সম্পাদন করা
perforate	ছিদ্র করা
perfectly	ঠিকভাবে
perfectionist	পাপ
perfection	পরিপূর্ণতা
perfect	নির্ভুল
perennial	বহুবর্ষজীবী
peremptory	সুদৃঢ়
percussion	সঙ্ঘর্ষ
percolator	অনুস্রাবণযন্ত্র
percolate	পরিস্রুত করা
perch	উচ্চাসন
perceptively	perceptively
perceptive	অনুভবক্ষম
perception	উপলব্ধি
perceptibly	perceptibly
perceptible	অনুভবনীয়
percentile	পার্সেন্টাইল
percentage	শতকরা হার
percent	শতাংশ
perceive	বোঝা
per	দ্বারা
pep talk	উৎসাহব্যঞ্জক
pep rally	তেজ সমাবেশে
peppy	উদ্যমী
pepperoni	পেপারনি
peppermint	মেন্থল
pepper	মরিচ
pep	তেজ
people	সম্প্রদায়
peon	পিয়ন
pent-up	দমিত
penthouse	আট্টালিকার দেওয়ালে ঠেস
pentagon	পঁচকোণ
Pentagon	পঁচকোণ
pensive	বিষণ্ণ
pension	পেনশন
pen pal	পেন প্যাল
penny	টাকা
penniless	রিক্ত
pennant	ধ্বজা
pen name	লেখকের ছদ্মনাম
penknives	penknives
penknife	ক্ষুদ্র পকেট ছুরি
penitentiary	কারাগার
penitent	অনুতপ্ত
penitence	অনুশোচনা
penis	লিঙ্গ
peninsula	উপদ্বীপ
penicillin	পেনিসিলিন্
penguin	পেংগুইন
penetration	অনুপ্রবেশ
penetrating	তীক্ষ্ন
penetrate	পশা
pendulum	দোলক
pending	অমীমাংসিত
pendant	দুল
pencil sharpener	পেন্সিল শাণত্তয়ালা
pencil case	পেন্সিল ক্ষেত্রে
pencil	পেন্সিল
penchant	টান
penance	আক্ষেপ
penalty box	পেনাল্টি বক্সের
penalty	শাস্তি
penalize	দণ্ডিত করা
penal	দণ্ডদায়ক
pen	কলম
pelvis	শ্রোণীচক্র
pelvic	শ্রোর্ণী
pelt	ছোড়া
pellet	বটিকা
pelican	পেলিক্যান্
pejorative	মূল্যহানিকর
peg	গোঁজ
peeve	অবজ্ঞা
peerless	তুলনাহীন
peer	জুড়িদার
peeping Tom	টম পিপিং
peephole	দরজার ফুটো
peep	সতর্ক চাহনি
peel	খোসা
peekaboo	Peekaboo
peek	উঁকি
pee	প্রস্রাব
pedigreed	বংশপরিচয়সম্পন্ন
pedigree	বংশতালিকা
pediatrics	বালরোগচিকিত্সা
pediatrician	শিশুরোগ
pedestrian	পথচারী
pedestal	স্তম্ভমূল
peddler	হকার
peddle	ফেরি করা
pedantry	পণ্ডিতিপনা
pedantically	pedantically
pedantic	গোঁড়া
pedal	প্যাডেল
pedagogy	শিক্ষাবিজ্ঞান
pedagogical	পণ্ডিতিপনামূলক
peculiarly	অদ্ভুতভাবে
peculiarity	বিশেষত্ব
peculiar	অদ্ভুত
peck	ঠোকর
pecan	পিক্যান
pebble	নুড়ি
peat	পিট
peasant	চাষী
pearl	মুক্তা
pear	নাশপাতি
peanuts	চিনাবাদাম
peanut butter	চিনাবাদাম মাখন
peanut	চিনাবাদাম
peal	নিনাদ
peaked	কৃশ
peak	শিখর
peacock	ময়ুর
peach	পীচ
peacetime	শান্তিকালীন
peace pipe	শান্তি পাইপ
peacemaker	মিলনসাধক
peacekeeping	শান্তিরক্ষা
peacefulness	শান্তিতে
peacefully	নির্বিঘ্নে
peaceful	শান্তিপূর্ণ
Peace Corps	পিস কর্পস
peaceably	পাশাপাশি শান্তিপূর্ণভাবে
peaceable	শান্তিপ্রবণ
peace	শান্তি
pea	মটর
PE	PE
PC	পিসি
pay-TV	বেতন টিভি
payroll	মাইনে
pay phone	বেতন ফোন
payoff	প্রতিদান
payment	প্রদান
payload	পেলোড
payee	প্রাপ্তা
pay dirt	বেতন ময়লা
payday	নিবন্ধন
paycheck	paycheck
payable	প্রদেয়
pay	বেতন
pawnbroker	পোদ্দার
pawn	গুটি
paw	থাবা
pavilion	পটমণ্ডপ
pavement	ফুটপাথ
pave	আস্তৃত করা
pause	বিরতি
paunchy	ভুঁড়িদাস
paunch	উদর
paucity	অনটন
patty	পিঠা
patterned	patterned
pattern	প্যাটার্ন
patter	বিড়বিড় করা
patron saint	সন্ত
patronizingly	ঠিকঠাক
patronizing	অনুগ্রাহক
patronize	পিঠ চাপড়ান
patronage	পৃষ্ঠপোষকতা
patron	রক্ষাকর্তা
patrolwoman	patrolwoman
patrolman	পাহারাদার
patrol	চৌকি
patriotism	স্বদেশপ্রেম
patriotically	দেশপ্রেম
patriotic	স্বদেশপ্রেমী
patriot	দেশভক্ত
patrimony	পৈতৃক সম্পত্তি
patricide	স্বীয় পিতৃহত্যা
patriarchy	গোষ্ঠীপতিশাসিত সমাজ
patriarchal	পিতৃশাসিত
patriarch	কুলপতি
patio	বহিঃপ্রাঙ্গণ
patiently	অকাতরে
patient	রোগী
patience	ধৈর্য
pathway	পথ
pathos	উদ্দীপনা
pathology	রোগবিদ্যা
pathologist	রোগবিদ্যাবিৎ
pathologically	pathologically
pathological	আবেগপূর্ণ
pathetically	pathetically
pathetic	বেচারা
path	পথ
paternity	পিতৃত্ব
paternalistic	paternalistic
paternalism	সদাশয় সৈ্বরশাসন
paternal	পৈতৃক
patently	patently
patent leather	পেটেন্ট চামড়া
patent	পেটেণ্ট
pate	বড়া
patchy	বেমানান
patchwork	জোড়াতালি
patch	তালি
pat	চাপড়ান
PA system	পিএ সিস্টেম
pasty	এঁেটল
pasture	তৃণক্ষেত্র
past tense	অতীত
pastry	পিষ্টক
pastoral	যাজকসংক্রান্ত
pastor	যাজক
pastime	আহ্লাদ
pasteurized	pasteurized
pasteurize	pasteurize
pasteurization	পাস্তুরায়ন
pastel	রঙের পেন্সিল
paste	আঠা
pasta	পাস্তা
past	গত
password	পাসওয়ার্ড
passport	পাসপোর্ট
Passover	পাসোভার
passively	অক্রিয়ভাবে
passionately	মনেপ্রাণে
passive	নিষ্ক্রিয়
passionate	কামুক
passion	আবেগ
passing	ক্ষণস্থায়ী
passersby	পথচারীদের
passerby	passerby
passe	বিগতযৌবনা
passenger	যাত্রী
passageway	passageway
passage	উত্তরণ
passbook	হাতচিঠা
passable	গ্রহণীয়
party favor	পার্টি আনুকূল্য
pass	পাস
partway	partway
party	পার্টি
partridge	তিতির
part-time	খণ্ডকাল
part of speech	বক্তৃতা অংশ
partnership	অংশীদারিত্ব
partner	অংশীদার
partly	আংশিকভাবে
partition	পার্টিশন
partisan	তরফদার
parting	ছাড়াছাড়ি
particulars	বিবরণ
particularly	বিশেষভাবে
particular	বিশেষ
particle	খুদ
participle	পার্টিসিপেল
participation	অংশগ্রহণ
participate	অংশগ্রহণ করা
participant	অংশগ্রাহক
partially	আংশিকভাবে
partiality	পক্ষপাত
partial	আংশিক
part	অংশ
parsnip	গাজরজাতীয় সব্জী
parsley	পার্সলে
parrot	তোতাপাখি
parquet	পাটাতন
parole	বচন
parody	প্যারডি
parochial	সংকীর্ণ
parlor	বৈঠকখানা
parliamentary	সংসদীয়
parliament	সংসদ
parkway	পার্কওয়ে
parking ticket	পার্কিং টিকেট
parking meter	পার্কিং মিটার
parking lot	পার্কিং লট
parking garage	পার্কিং গ্যারেজ
parking brake	পার্কিং ব্রেক
parking	পার্কিং
parka	জামাবিশেষ
park	পার্ক
parity	সমতা
parishioner	প্যারিশের অধিবাসী
parish	প্যারিশ
parenthood	অভিভাবকত্ব
parenthesis	প্রথম বন্ধনী
parentheses	প্রথম বন্ধনী
parental	মাতাপিতার
parentage	বংশপরিচয়
parent	মাতা
pare	ছাঁটা
pardon me	আমাকে ক্ষমা করুন
pardonable	মার্জনীয়
pardon	ক্ষমা
parchment	চর্মের কাগজ
parched	বিশুষ্ক
parcel post	মোড়ক পোস্ট
parcel	পুলিন্দা
paratrooper	প্যারাশূট বাহিনীভুক্ত সৈনিক
parasol	আতপত্র
parasitic	পরাশ্রয়ী
parasite	পরজীবী
paraplegic	paraplegic
paraphrase	ভাষান্তর করা
paraphernalia	বস্ত্রাদি
paranoid	ভীতু
paranoia	প্যারানয়া
paramount	প্রধানতম
paramilitary	আর্ধাসামরিক
parameter	স্থিতিমাপ
paramedic	প্যারামেডিক
paralyzed	পক্ষাঘাতগ্রস্ত
paralyze	অসাড় করা
paralytic	বাতব্যাধিগ্রস্ত
paralysis	পক্ষাঘাত
parallel	সমান্তরাল
paralegal	প্যারালিগাল
parakeet	টিয়া
paragraph	অনুচ্ছেদ
paragon	উত্কর্ষের আদর্শ
paraffin	প্যারাফিন্
paradoxically	paradoxically
paradoxical	আপাতবিরোধী
paradox	কূটাভাস
paradise	নন্দনকানন
paradigm	দৃষ্টান্ত
parade	প্যারেড
parachute	প্যারাশুট
parable	দৃষ্টান্ত
par	সমাবস্থা
Pap smear	স্তনের বোঁটা লেপন
paprika	পাপরিকা
papier-mache	কার্যে ব্যবহৃত কাগজের মণ্ড -সুটকেস
paperwork	নিম্নলিখিত বিষয়গুলি
paperweight	মুদ্রাঙ্কিত বিষয়
papers	কাগজপত্র
papergirl	papergirl
paper clip	কাগজ ক্লিপ
paperboy	Paperboy
paperback	মলাটত্তয়ালা বই
paper	কাগজ
papaya	পেঁপে
papal	পোপসংক্রান্ত
papacy	পোপের পদ
papa	বাবা
pantyhose	প্যান্টিহস
pants	প্যান্ট
pantry	ভাঁড়ারঘর
pantomime	পুতুলনাচ
panties	বোকার
panther	চিতাবাঘ
pantheism	সর্বেশ্বরবাদ
pant	হাঁফান
pansy	স্বকামী পুরুষ-প্রাণী
panoramic	প্যানরোমিক
panorama	পরিদৃশ্য
panic-stricken	ভয়বিহ্বল
panicky	ত্রাসিত
panic	আতঙ্ক
panhandler	Panhandler
panhandle	ভিক্ষা করা
pang	আকস্মিক তীব্র বেদনা
panelist	panelist
paneling	প্যানেলের কাজ
panel	প্যানেল
pane	শার্সি
pander	সহচর
pandemonium	নরক
panda	পান্ডা
pancreatic	অগ্ন্যাশয়
pancreas	অগ্ন্যাশয়
pancake	প্যানকেক
panache	panache
panacea	সর্বব্যাধিহর ঔষধ
pan	চাটু
pamphlet	পুস্তিকা
pamper	লাই দেত্তয়া
paltry	তুচ্ছ
palpably	palpably
palpable	প্রতীয়মান
palm tree	তালজাতীয় বৃক্ষ
Palm Sunday	পাম রবিবার
palm	করতল
pallor	পাণ্ডুবর্ণের
pallid	মলিন
pallbearer	pallbearer
pall	যবনিকা
palette	প্যালেট
paleontology	জীবাশ্র্মবিজ্ঞান
paleontologist	জীবাশ্মবিদ
pale	ম্লান
palatial	প্রাসাদতুল্য
palate	তালু
palatable	স্বাদু
palace	প্রাসাদ
pal	সাথী
pajamas	পায়জামা
pair	জুড়ি
paints	রঙে
painting	চিত্র
painter	চিত্রকর
paintbrush	তুলি
paint	আঁকা
